rank,country_full,total_points,previous_points,rank_change,rank_date
1,Germany,0,57,0,1993-08-08
2,Italy,0,57,0,1993-08-08
3,Switzerland,0,50,9,1993-08-08
4,Sweden,0,55,0,1993-08-08
5,Argentina,0,51,5,1993-08-08
6,Republic of Ireland,0,54,0,1993-08-08
7,Russia,0,52,1,1993-08-08
8,Brazil,0,55,-5,1993-08-08
9,Norway,0,49,5,1993-08-08
10,Denmark,0,51,-1,1993-08-08
11,England,0,55,-6,1993-08-08
12,France,0,45,7,1993-08-08
13,Spain,0,49,2,1993-08-08
14,Mexico,0,42,11,1993-08-08
15,RCS,0,47,3,1993-08-08
16,Netherlands,0,53,-9,1993-08-08
17,Nigeria,0,49,-4,1993-08-08
18,Belgium,0,47,-1,1993-08-08
19,Colombia,0,36,16,1993-08-08
20,Poland,0,45,0,1993-08-08
21,Romania,0,51,-10,1993-08-08
22,Uruguay,0,47,-6,1993-08-08
23,Portugal,0,38,10,1993-08-08
24,Cameroon,0,43,-2,1993-08-08
25,Zambia,0,38,7,1993-08-08
26,Egypt,0,44,-5,1993-08-08
27,Wales,0,40,1,1993-08-08
28,USA,0,43,-4,1993-08-08
29,Côte d'Ivoire,0,41,-2,1993-08-08
30,Scotland,0,43,-7,1993-08-08
31,Tunisia,0,35,7,1993-08-08
32,Greece,0,38,-1,1993-08-08
33,Morocco,0,32,8,1993-08-08
34,Algeria,0,38,-4,1993-08-08
35,Ecuador,0,23,30,1993-08-08
36,Korea Republic,0,27,13,1993-08-08
37,Bulgaria,0,41,-11,1993-08-08
38,Austria,0,38,-4,1993-08-08
39,Costa Rica,0,35,-2,1993-08-08
40,Northern Ireland,0,31,3,1993-08-08
41,Honduras,0,32,-1,1993-08-08
42,Hungary,0,35,-6,1993-08-08
43,Japan,0,22,23,1993-08-08
44,Saudi Arabia,0,27,4,1993-08-08
45,China PR,0,26,11,1993-08-08
46,Canada,0,25,11,1993-08-08
47,Finland,0,30,-3,1993-08-08
48,Ghana,0,34,-9,1993-08-08
49,Chile,0,28,-2,1993-08-08
50,Zimbabwe,0,27,4,1993-08-08
51,Qatar,0,27,1,1993-08-08
52,Australia,0,29,-7,1993-08-08
53,Iceland,0,29,-7,1993-08-08
54,IR Iran,0,24,7,1993-08-08
55,United Arab Emirates,0,24,4,1993-08-08
56,Yugoslavia,0,39,-27,1993-08-08
57,Iraq,0,14,25,1993-08-08
58,Senegal,0,27,-7,1993-08-08
59,Bolivia,0,13,28,1993-08-08
60,Kuwait,0,21,11,1993-08-08
61,Korea DPR,0,16,16,1993-08-08
62,El Salvador,0,27,-12,1993-08-08
63,Turkey,0,31,-21,1993-08-08
64,Gabon,0,26,-9,1993-08-08
65,Guinea,0,23,-2,1993-08-08
66,Thailand,0,17,9,1993-08-08
67,Paraguay,0,22,1,1993-08-08
68,Malawi,0,27,-15,1993-08-08
69,Israel,0,23,-5,1993-08-08
70,Peru,0,16,8,1993-08-08
71,Zaire,0,24,-11,1993-08-08
72,Cyprus,0,20,0,1993-08-08
73,Singapore,0,12,16,1993-08-08
74,Mali,0,21,-5,1993-08-08
75,Malaysia,0,12,16,1993-08-08
76,Bermuda,0,25,-18,1993-08-08
77,Niger,0,15,4,1993-08-08
78,Syria,0,11,18,1993-08-08
79,Bahrain,0,13,9,1993-08-08
80,New Zealand,0,21,-10,1993-08-08
81,Madagascar,0,17,-7,1993-08-08
82,Malta,0,18,-9,1993-08-08
83,Jamaica,0,22,-16,1993-08-08
84,Lithuania,0,11,9,1993-08-08
85,Trinidad and Tobago,0,24,-23,1993-08-08
86,Sierra Leone,0,16,-7,1993-08-08
87,Jordan,0,7,23,1993-08-08
88,Kenya,0,17,-12,1993-08-08
89,Latvia,0,10,10,1993-08-08
90,Yemen,0,6,25,1993-08-08
91,Tanzania,0,15,-11,1993-08-08
92,Albania,0,14,-6,1993-08-08
93,Angola,0,10,9,1993-08-08
94,Venezuela,0,4,31,1993-08-08
95,Ethiopia,0,14,-10,1993-08-08
96,Burundi,0,10,4,1993-08-08
97,Oman,0,6,19,1993-08-08
98,Indonesia,0,9,10,1993-08-08
99,Liberia,0,14,-15,1993-08-08
100,Mozambique,0,9,7,1993-08-08
101,Puerto Rico,0,4,21,1993-08-08
102,Swaziland,0,9,2,1993-08-08
103,Hong Kong,0,5,16,1993-08-08
104,Uganda,0,12,-12,1993-08-08
105,Barbados,0,6,9,1993-08-08
106,Myanmar,0,0,46,1993-08-08
107,Congo,0,12,-17,1993-08-08
108,Lebanon,0,0,53,1993-08-08
109,South Africa,0,4,15,1993-08-08
110,Luxembourg,0,9,-7,1993-08-08
111,Faroe Islands,0,11,-17,1993-08-08
112,Guatemala,0,14,-29,1993-08-08
113,Burkina Faso,0,11,-16,1993-08-08
114,Togo,0,10,-13,1993-08-08
115,Suriname,0,11,-20,1993-08-08
116,Fiji,0,9,-10,1993-08-08
117,Croatia,0,6,-4,1993-08-08
118,Estonia,0,3,14,1993-08-08
119,San Marino,0,4,7,1993-08-08
120,Bangladesh,0,3,13,1993-08-08
121,St Vincent and the Grenadines,0,9,-16,1993-08-08
122,Netherlands Antilles,0,11,-24,1993-08-08
123,Mauritius,0,7,-11,1993-08-08
124,Benin,0,4,3,1993-08-08
125,Panama,0,5,-5,1993-08-08
126,Sudan,0,7,-15,1993-08-08
127,Antigua and Barbuda,0,8,-18,1993-08-08
128,Slovenia,0,3,3,1993-08-08
129,India,0,1,14,1993-08-08
130,Belarus,0,1,16,1993-08-08
131,Ukraine,0,3,-2,1993-08-08
132,Vietnam,0,0,0,1993-08-08
133,Guinea-Bissau,0,5,-16,1993-08-08
134,Guyana,0,3,-6,1993-08-08
135,Botswana,0,2,4,1993-08-08
136,St Lucia,0,5,-18,1993-08-08
137,Tahiti,0,4,-14,1993-08-08
138,Grenada,0,4,-17,1993-08-08
139,Haiti,0,3,-9,1993-08-08
140,Libya,0,2,-3,1993-08-08
141,Laos,0,0,0,1993-08-08
142,Mauritania,0,2,-8,1993-08-08
143,Cape Verde Islands,0,2,-8,1993-08-08
144,Solomon Islands,0,2,-8,1993-08-08
145,Brunei Darussalam,0,2,-5,1993-08-08
146,Lesotho,0,1,-4,1993-08-08
148,Dominican Republic,0,1,-7,1993-08-08
149,Pakistan,0,1,-4,1993-08-08
150,Nicaragua,0,0,4,1993-08-08
151,Cuba,0,1,-7,1993-08-08
152,Seychelles,0,0,-5,1993-08-08
153,Central African Republic,0,0,-5,1993-08-08
154,Gambia,0,0,-4,1993-08-08
155,Namibia,0,0,3,1993-08-08
156,Cayman Islands,0,0,0,1993-08-08
157,Nepal,0,0,-8,1993-08-08
158,Liechtenstein,0,0,-5,1993-08-08
159,Equatorial Guinea,0,0,-8,1993-08-08
160,Chinese Taipei,0,0,-4,1993-08-08
161,Sri Lanka,0,0,0,1993-08-08
162,Philippines,0,0,-5,1993-08-08
163,Chad,0,0,-8,1993-08-08
164,Vanuatu,0,0,-5,1993-08-08
165,Aruba,0,0,-5,1993-08-08
166,Bahamas,0,0,-4,1993-08-08
167,Maldives,0,0,-4,1993-08-08
167,Macau,0,0,0,1993-08-08
1,Brazil,0,54,7,1993-09-23
2,Italy,0,56,0,1993-09-23
3,Norway,0,54,6,1993-09-23
4,Denmark,0,53,6,1993-09-23
5,England,0,52,6,1993-09-23
5,Germany,0,57,-4,1993-09-23
7,France,0,51,5,1993-09-23
8,Russia,0,54,-1,1993-09-23
9,Republic of Ireland,0,55,-3,1993-09-23
10,Switzerland,0,56,-7,1993-09-23
11,Sweden,0,56,-7,1993-09-23
12,Argentina,0,56,-7,1993-09-23
13,Netherlands,0,49,3,1993-09-23
14,Spain,0,50,-1,1993-09-23
15,Uruguay,0,45,7,1993-09-23
16,Mexico,0,50,-2,1993-09-23
17,RCS,0,50,-2,1993-09-23
18,Nigeria,0,49,-1,1993-09-23
19,Colombia,0,47,0,1993-09-23
20,Romania,0,47,1,1993-09-23
21,Portugal,0,45,2,1993-09-23
22,Poland,0,47,-2,1993-09-23
23,Cameroon,0,45,1,1993-09-23
24,Belgium,0,47,-6,1993-09-23
25,Egypt,0,44,1,1993-09-23
26,USA,0,44,2,1993-09-23
27,Zambia,0,44,-2,1993-09-23
28,Scotland,0,41,2,1993-09-23
29,Wales,0,44,-2,1993-09-23
30,Algeria,0,39,4,1993-09-23
31,Côte d'Ivoire,0,42,-2,1993-09-23
32,Morocco,0,40,1,1993-09-23
33,Austria,0,39,5,1993-09-23
34,Tunisia,0,40,-3,1993-09-23
35,Greece,0,40,-3,1993-09-23
36,Korea Republic,0,39,0,1993-09-23
37,Bulgaria,0,39,0,1993-09-23
38,Costa Rica,0,38,1,1993-09-23
39,Honduras,0,37,2,1993-09-23
40,Northern Ireland,0,37,0,1993-09-23
41,Ecuador,0,39,-6,1993-09-23
42,Ghana,0,33,6,1993-09-23
43,Japan,0,34,0,1993-09-23
44,Saudi Arabia,0,34,0,1993-09-23
45,China PR,0,34,0,1993-09-23
46,Canada,0,34,0,1993-09-23
47,Zimbabwe,0,33,3,1993-09-23
48,Hungary,0,36,-6,1993-09-23
49,Iceland,0,31,4,1993-09-23
50,Finland,0,34,-3,1993-09-23
51,Gabon,0,28,13,1993-09-23
52,Chile,0,33,-3,1993-09-23
53,Bolivia,0,30,6,1993-09-23
54,Qatar,0,32,-3,1993-09-23
55,Paraguay,0,27,12,1993-09-23
56,United Arab Emirates,0,31,-1,1993-09-23
57,Senegal,0,30,1,1993-09-23
58,IR Iran,0,31,-4,1993-09-23
59,Iraq,0,30,-2,1993-09-23
60,Guinea,0,27,5,1993-09-23
61,Kuwait,0,30,-1,1993-09-23
62,Yugoslavia,0,31,-6,1993-09-23
63,El Salvador,0,29,-1,1993-09-23
64,Korea DPR,0,30,-3,1993-09-23
65,Australia,0,31,-13,1993-09-23
66,Turkey,0,28,-3,1993-09-23
67,Thailand,0,27,-1,1993-09-23
68,Malawi,0,27,0,1993-09-23
69,Zaire,0,25,2,1993-09-23
70,Mali,0,24,4,1993-09-23
71,Israel,0,26,-2,1993-09-23
72,Kenya,0,17,16,1993-09-23
73,Peru,0,26,-3,1993-09-23
74,Cyprus,0,24,-2,1993-09-23
75,Singapore,0,24,-2,1993-09-23
76,Jamaica,0,19,7,1993-09-23
77,Malaysia,0,22,-2,1993-09-23
78,Bermuda,0,21,-2,1993-09-23
79,Sierra Leone,0,18,7,1993-09-23
80,Bahrain,0,20,-1,1993-09-23
81,Syria,0,20,-3,1993-09-23
82,Niger,0,21,-5,1993-09-23
83,Madagascar,0,20,-2,1993-09-23
84,New Zealand,0,20,-4,1993-09-23
85,Malta,0,19,-3,1993-09-23
86,Lithuania,0,18,-2,1993-09-23
87,Latvia,0,16,2,1993-09-23
88,Trinidad and Tobago,0,18,-3,1993-09-23
89,Jordan,0,17,-2,1993-09-23
90,Yemen,0,16,0,1993-09-23
91,Albania,0,15,1,1993-09-23
92,Ethiopia,0,14,3,1993-09-23
93,Swaziland,0,11,9,1993-09-23
94,Venezuela,0,14,0,1993-09-23
95,South Africa,0,11,14,1993-09-23
96,Uganda,0,11,8,1993-09-23
97,Angola,0,15,-4,1993-09-23
98,Burundi,0,13,-2,1993-09-23
99,Tanzania,0,15,-8,1993-09-23
100,Oman,0,13,-3,1993-09-23
101,Congo,0,11,6,1993-09-23
102,Indonesia,0,13,-4,1993-09-23
103,Mozambique,0,12,-3,1993-09-23
104,Togo,0,9,10,1993-09-23
105,Puerto Rico,0,11,-4,1993-09-23
106,Hong Kong,0,11,-3,1993-09-23
107,Myanmar,0,11,-1,1993-09-23
108,Barbados,0,11,-3,1993-09-23
109,Lebanon,0,11,-1,1993-09-23
110,Luxembourg,0,10,0,1993-09-23
111,Faroe Islands,0,10,0,1993-09-23
112,Liberia,0,12,-13,1993-09-23
113,Guatemala,0,10,-1,1993-09-23
114,Suriname,0,9,1,1993-09-23
115,Sudan,0,7,11,1993-09-23
116,Croatia,0,9,1,1993-09-23
117,Estonia,0,8,1,1993-09-23
118,San Marino,0,8,1,1993-09-23
119,Bangladesh,0,8,1,1993-09-23
119,Burkina Faso,0,9,-6,1993-09-23
121,Fiji,0,9,-5,1993-09-23
122,Netherlands Antilles,0,7,0,1993-09-23
123,St Vincent and the Grenadines,0,8,-2,1993-09-23
124,Benin,0,7,0,1993-09-23
124,Mauritius,0,7,-1,1993-09-23
126,Panama,0,7,-1,1993-09-23
127,Antigua and Barbuda,0,6,0,1993-09-23
128,Slovenia,0,5,0,1993-09-23
129,India,0,5,0,1993-09-23
130,Guinea-Bissau,0,4,3,1993-09-23
131,Belarus,0,5,-1,1993-09-23
132,Ukraine,0,4,-1,1993-09-23
133,Vietnam,0,4,-1,1993-09-23
134,Guyana,0,4,0,1993-09-23
135,Lesotho,0,1,11,1993-09-23
136,Botswana,0,4,-1,1993-09-23
137,St Lucia,0,4,-1,1993-09-23
138,Tahiti,0,4,-1,1993-09-23
139,Grenada,0,4,-1,1993-09-23
140,Haiti,0,3,-1,1993-09-23
141,Laos,0,2,0,1993-09-23
142,Cape Verde Islands,0,2,1,1993-09-23
143,Solomon Islands,0,2,1,1993-09-23
144,Mauritania,0,2,-2,1993-09-23
145,Brunei Darussalam,0,2,0,1993-09-23
147,Libya,0,2,-7,1993-09-23
148,Dominican Republic,0,1,0,1993-09-23
149,Pakistan,0,1,0,1993-09-23
150,Nicaragua,0,0,0,1993-09-23
151,Cuba,0,0,0,1993-09-23
152,Seychelles,0,0,0,1993-09-23
152,Gambia,0,0,2,1993-09-23
154,Central African Republic,0,0,-1,1993-09-23
155,Namibia,0,0,0,1993-09-23
156,Cayman Islands,0,0,0,1993-09-23
157,Liechtenstein,0,0,1,1993-09-23
158,Nepal,0,0,-1,1993-09-23
159,Chinese Taipei,0,0,1,1993-09-23
159,Equatorial Guinea,0,0,0,1993-09-23
161,Sri Lanka,0,0,0,1993-09-23
162,Philippines,0,0,0,1993-09-23
163,Chad,0,0,0,1993-09-23
164,Vanuatu,0,0,0,1993-09-23
165,Aruba,0,0,0,1993-09-23
166,Bahamas,0,0,0,1993-09-23
166,Macau,0,0,1,1993-09-23
166,Maldives,0,0,1,1993-09-23
1,Brazil,0,59,0,1993-10-22
2,Norway,0,56,1,1993-10-22
3,Italy,0,57,-1,1993-10-22
4,Germany,0,55,1,1993-10-22
5,Denmark,0,56,-1,1993-10-22
6,Netherlands,0,53,7,1993-10-22
7,Spain,0,52,7,1993-10-22
8,Sweden,0,55,3,1993-10-22
9,Argentina,0,55,3,1993-10-22
10,England,0,55,-5,1993-10-22
11,Russia,0,55,-3,1993-10-22
11,Republic of Ireland,0,55,-2,1993-10-22
13,Switzerland,0,55,-3,1993-10-22
14,France,0,55,-7,1993-10-22
15,Romania,0,48,5,1993-10-22
16,Nigeria,0,50,2,1993-10-22
17,Uruguay,0,51,-2,1993-10-22
18,Mexico,0,51,-2,1993-10-22
19,Colombia,0,49,0,1993-10-22
20,Portugal,0,47,1,1993-10-22
21,RCS,0,50,-4,1993-10-22
22,Cameroon,0,46,1,1993-10-22
23,Poland,0,47,-1,1993-10-22
24,Belgium,0,45,0,1993-10-22
25,Zambia,0,44,2,1993-10-22
26,USA,0,45,0,1993-10-22
27,Egypt,0,45,-2,1993-10-22
28,Wales,0,43,1,1993-10-22
29,Scotland,0,43,-1,1993-10-22
30,Morocco,0,41,2,1993-10-22
31,Algeria,0,42,-1,1993-10-22
32,Bulgaria,0,38,5,1993-10-22
33,Côte d'Ivoire,0,42,-2,1993-10-22
34,Austria,0,40,-1,1993-10-22
35,Tunisia,0,40,-1,1993-10-22
36,Greece,0,39,-1,1993-10-22
37,Korea Republic,0,38,-1,1993-10-22
38,Costa Rica,0,37,0,1993-10-22
39,Honduras,0,37,0,1993-10-22
40,Ghana,0,36,2,1993-10-22
41,Ecuador,0,36,0,1993-10-22
42,Northern Ireland,0,37,-2,1993-10-22
43,Zimbabwe,0,34,4,1993-10-22
44,Japan,0,34,-1,1993-10-22
45,Finland,0,32,5,1993-10-22
46,Saudi Arabia,0,34,-2,1993-10-22
47,Canada,0,34,-1,1993-10-22
48,China PR,0,34,-3,1993-10-22
49,Hungary,0,34,-1,1993-10-22
50,Iceland,0,33,-1,1993-10-22
51,Qatar,0,32,3,1993-10-22
52,Chile,0,32,0,1993-10-22
53,Bolivia,0,32,0,1993-10-22
54,Gabon,0,32,-3,1993-10-22
55,United Arab Emirates,0,31,1,1993-10-22
56,Paraguay,0,31,-1,1993-10-22
57,Senegal,0,31,0,1993-10-22
58,Korea DPR,0,29,6,1993-10-22
59,IR Iran,0,30,-1,1993-10-22
60,El Salvador,0,29,3,1993-10-22
61,Australia,0,28,4,1993-10-22
62,Kuwait,0,30,-1,1993-10-22
63,Guinea,0,30,-3,1993-10-22
64,Iraq,0,30,-5,1993-10-22
65,Yugoslavia,0,29,-3,1993-10-22
66,Israel,0,25,5,1993-10-22
67,Turkey,0,27,-1,1993-10-22
68,Thailand,0,26,-1,1993-10-22
69,Malawi,0,26,-1,1993-10-22
70,Zaire,0,26,-1,1993-10-22
71,Peru,0,25,2,1993-10-22
72,Kenya,0,25,0,1993-10-22
73,Mali,0,26,-3,1993-10-22
74,Singapore,0,24,1,1993-10-22
75,Cyprus,0,24,-1,1993-10-22
76,Jamaica,0,22,0,1993-10-22
77,New Zealand,0,20,7,1993-10-22
78,Bermuda,0,21,0,1993-10-22
79,Malaysia,0,21,-2,1993-10-22
80,Bahrain,0,20,0,1993-10-22
81,Syria,0,20,0,1993-10-22
82,Niger,0,20,0,1993-10-22
83,Sierra Leone,0,21,-4,1993-10-22
84,Malta,0,19,1,1993-10-22
85,Lithuania,0,18,1,1993-10-22
86,Madagascar,0,20,-3,1993-10-22
87,Latvia,0,17,0,1993-10-22
88,Trinidad and Tobago,0,17,0,1993-10-22
89,Jordan,0,17,0,1993-10-22
90,Ethiopia,0,16,2,1993-10-22
91,Albania,0,16,0,1993-10-22
92,Swaziland,0,16,1,1993-10-22
93,Yemen,0,16,-3,1993-10-22
94,Venezuela,0,16,0,1993-10-22
95,South Africa,0,15,0,1993-10-22
96,Uganda,0,15,0,1993-10-22
97,Angola,0,14,0,1993-10-22
98,Burundi,0,13,0,1993-10-22
99,Tanzania,0,13,0,1993-10-22
100,India,0,5,29,1993-10-22
101,Oman,0,13,-1,1993-10-22
102,Congo,0,13,-1,1993-10-22
103,Indonesia,0,13,-1,1993-10-22
104,Mozambique,0,12,-1,1993-10-22
105,Puerto Rico,0,11,0,1993-10-22
106,Luxembourg,0,11,4,1993-10-22
106,Togo,0,12,-2,1993-10-22
108,Fiji,0,8,13,1993-10-22
109,Myanmar,0,11,-2,1993-10-22
110,Hong Kong,0,11,-4,1993-10-22
111,Lebanon,0,11,-2,1993-10-22
112,Barbados,0,11,-4,1993-10-22
113,Faroe Islands,0,10,-2,1993-10-22
114,Guatemala,0,9,-1,1993-10-22
115,Suriname,0,9,-1,1993-10-22
116,Liberia,0,9,-4,1993-10-22
117,Sudan,0,9,-2,1993-10-22
118,Croatia,0,9,-2,1993-10-22
119,Estonia,0,8,-2,1993-10-22
120,Ukraine,0,4,12,1993-10-22
121,Bangladesh,0,8,-2,1993-10-22
122,San Marino,0,8,-4,1993-10-22
123,Burkina Faso,0,8,-4,1993-10-22
124,Netherlands Antilles,0,7,-2,1993-10-22
125,St Vincent and the Grenadines,0,7,-2,1993-10-22
126,Benin,0,7,-2,1993-10-22
127,Mauritius,0,7,-3,1993-10-22
128,Panama,0,6,-2,1993-10-22
129,Antigua and Barbuda,0,6,-2,1993-10-22
130,Slovenia,0,5,-2,1993-10-22
131,Guinea-Bissau,0,5,-1,1993-10-22
132,Belarus,0,5,-1,1993-10-22
133,Vietnam,0,4,0,1993-10-22
134,Guyana,0,4,0,1993-10-22
135,Lesotho,0,4,0,1993-10-22
136,St Lucia,0,4,1,1993-10-22
137,Botswana,0,4,-1,1993-10-22
138,Tahiti,0,4,0,1993-10-22
139,Grenada,0,3,0,1993-10-22
140,Haiti,0,3,0,1993-10-22
141,Laos,0,2,0,1993-10-22
142,Cape Verde Islands,0,2,0,1993-10-22
143,Mauritania,0,2,1,1993-10-22
144,Pakistan,0,1,5,1993-10-22
145,Solomon Islands,0,2,-2,1993-10-22
146,Brunei Darussalam,0,1,-1,1993-10-22
148,Libya,0,1,-1,1993-10-22
149,Dominican Republic,0,1,-1,1993-10-22
150,Nicaragua,0,0,0,1993-10-22
151,Cuba,0,0,0,1993-10-22
152,Gambia,0,0,0,1993-10-22
153,Seychelles,0,0,-1,1993-10-22
153,Central African Republic,0,0,1,1993-10-22
155,Namibia,0,0,0,1993-10-22
