rank;country_full;total_points;previous_points;rank_change;rank_date
1;Germany;0;57;0;08/08/1993
2;Italy;0;57;0;08/08/1993
3;Switzerland;0;50;9;08/08/1993
4;Sweden;0;55;0;08/08/1993
5;Argentina;0;51;5;08/08/1993
6;Republic of Ireland;0;54;0;08/08/1993
7;Russia;0;52;1;08/08/1993
8;Brazil;0;55;-5;08/08/1993
9;Norway;0;49;5;08/08/1993
10;Denmark;0;51;-1;08/08/1993
11;England;0;55;-6;08/08/1993
12;France;0;45;7;08/08/1993
13;Spain;0;49;2;08/08/1993
14;Mexico;0;42;11;08/08/1993
15;RCS;0;47;3;08/08/1993
16;Netherlands;0;53;-9;08/08/1993
17;Nigeria;0;49;-4;08/08/1993
18;Belgium;0;47;-1;08/08/1993
19;Colombia;0;36;16;08/08/1993
20;Poland;0;45;0;08/08/1993
21;Romania;0;51;-10;08/08/1993
22;Uruguay;0;47;-6;08/08/1993
23;Portugal;0;38;10;08/08/1993
24;Cameroon;0;43;-2;08/08/1993
25;Zambia;0;38;7;08/08/1993
26;Egypt;0;44;-5;08/08/1993
27;Wales;0;40;1;08/08/1993
28;USA;0;43;-4;08/08/1993
29;Côte d'Ivoire;0;41;-2;08/08/1993
30;Scotland;0;43;-7;08/08/1993
31;Tunisia;0;35;7;08/08/1993
32;Greece;0;38;-1;08/08/1993
33;Morocco;0;32;8;08/08/1993
34;Algeria;0;38;-4;08/08/1993
35;Ecuador;0;23;30;08/08/1993
36;Korea Republic;0;27;13;08/08/1993
37;Bulgaria;0;41;-11;08/08/1993
38;Austria;0;38;-4;08/08/1993
39;Costa Rica;0;35;-2;08/08/1993
40;Northern Ireland;0;31;3;08/08/1993
41;Honduras;0;32;-1;08/08/1993
42;Hungary;0;35;-6;08/08/1993
43;Japan;0;22;23;08/08/1993
44;Saudi Arabia;0;27;4;08/08/1993
45;China PR;0;26;11;08/08/1993
46;Canada;0;25;11;08/08/1993
47;Finland;0;30;-3;08/08/1993
48;Ghana;0;34;-9;08/08/1993
49;Chile;0;28;-2;08/08/1993
50;Zimbabwe;0;27;4;08/08/1993
51;Qatar;0;27;1;08/08/1993
52;Australia;0;29;-7;08/08/1993
53;Iceland;0;29;-7;08/08/1993
54;IR Iran;0;24;7;08/08/1993
55;United Arab Emirates;0;24;4;08/08/1993
56;Yugoslavia;0;39;-27;08/08/1993
57;Iraq;0;14;25;08/08/1993
58;Senegal;0;27;-7;08/08/1993
59;Bolivia;0;13;28;08/08/1993
60;Kuwait;0;21;11;08/08/1993
61;Korea DPR;0;16;16;08/08/1993
62;El Salvador;0;27;-12;08/08/1993
63;Turkey;0;31;-21;08/08/1993
64;Gabon;0;26;-9;08/08/1993
65;Guinea;0;23;-2;08/08/1993
66;Thailand;0;17;9;08/08/1993
67;Paraguay;0;22;1;08/08/1993
68;Malawi;0;27;-15;08/08/1993
69;Israel;0;23;-5;08/08/1993
70;Peru;0;16;8;08/08/1993
71;Zaire;0;24;-11;08/08/1993
72;Cyprus;0;20;0;08/08/1993
73;Singapore;0;12;16;08/08/1993
74;Mali;0;21;-5;08/08/1993
75;Malaysia;0;12;16;08/08/1993
76;Bermuda;0;25;-18;08/08/1993
77;Niger;0;15;4;08/08/1993
78;Syria;0;11;18;08/08/1993
79;Bahrain;0;13;9;08/08/1993
80;New Zealand;0;21;-10;08/08/1993
81;Madagascar;0;17;-7;08/08/1993
82;Malta;0;18;-9;08/08/1993
83;Jamaica;0;22;-16;08/08/1993
84;Lithuania;0;11;9;08/08/1993
85;Trinidad and Tobago;0;24;-23;08/08/1993
86;Sierra Leone;0;16;-7;08/08/1993
87;Jordan;0;7;23;08/08/1993
88;Kenya;0;17;-12;08/08/1993
89;Latvia;0;10;10;08/08/1993
90;Yemen;0;6;25;08/08/1993
91;Tanzania;0;15;-11;08/08/1993
92;Albania;0;14;-6;08/08/1993
93;Angola;0;10;9;08/08/1993
94;Venezuela;0;4;31;08/08/1993
95;Ethiopia;0;14;-10;08/08/1993
96;Burundi;0;10;4;08/08/1993
97;Oman;0;6;19;08/08/1993
98;Indonesia;0;9;10;08/08/1993
99;Liberia;0;14;-15;08/08/1993
100;Mozambique;0;9;7;08/08/1993
101;Puerto Rico;0;4;21;08/08/1993
102;Swaziland;0;9;2;08/08/1993
103;Hong Kong;0;5;16;08/08/1993
104;Uganda;0;12;-12;08/08/1993
105;Barbados;0;6;9;08/08/1993
106;Myanmar;0;0;46;08/08/1993
107;Congo;0;12;-17;08/08/1993
108;Lebanon;0;0;53;08/08/1993
109;South Africa;0;4;15;08/08/1993
110;Luxembourg;0;9;-7;08/08/1993
111;Faroe Islands;0;11;-17;08/08/1993
112;Guatemala;0;14;-29;08/08/1993
113;Burkina Faso;0;11;-16;08/08/1993
114;Togo;0;10;-13;08/08/1993
115;Suriname;0;11;-20;08/08/1993
116;Fiji;0;9;-10;08/08/1993
117;Croatia;0;6;-4;08/08/1993
118;Estonia;0;3;14;08/08/1993
119;San Marino;0;4;7;08/08/1993
120;Bangladesh;0;3;13;08/08/1993
121;St Vincent and the Grenadines;0;9;-16;08/08/1993
122;Netherlands Antilles;0;11;-24;08/08/1993
123;Mauritius;0;7;-11;08/08/1993
124;Benin;0;4;3;08/08/1993
125;Panama;0;5;-5;08/08/1993
126;Sudan;0;7;-15;08/08/1993
127;Antigua and Barbuda;0;8;-18;08/08/1993
128;Slovenia;0;3;3;08/08/1993
129;India;0;1;14;08/08/1993
130;Belarus;0;1;16;08/08/1993
131;Ukraine;0;3;-2;08/08/1993
132;Vietnam;0;0;0;08/08/1993
133;Guinea-Bissau;0;5;-16;08/08/1993
134;Guyana;0;3;-6;08/08/1993
135;Botswana;0;2;4;08/08/1993
136;St Lucia;0;5;-18;08/08/1993
137;Tahiti;0;4;-14;08/08/1993
138;Grenada;0;4;-17;08/08/1993
139;Haiti;0;3;-9;08/08/1993
140;Libya;0;2;-3;08/08/1993
141;Laos;0;0;0;08/08/1993
142;Mauritania;0;2;-8;08/08/1993
143;Cape Verde Islands;0;2;-8;08/08/1993
144;Solomon Islands;0;2;-8;08/08/1993
145;Brunei Darussalam;0;2;-5;08/08/1993
146;Lesotho;0;1;-4;08/08/1993
148;Dominican Republic;0;1;-7;08/08/1993
149;Pakistan;0;1;-4;08/08/1993
150;Nicaragua;0;0;4;08/08/1993
151;Cuba;0;1;-7;08/08/1993
152;Seychelles;0;0;-5;08/08/1993
153;Central African Republic;0;0;-5;08/08/1993
154;Gambia;0;0;-4;08/08/1993
155;Namibia;0;0;3;08/08/1993
156;Cayman Islands;0;0;0;08/08/1993
157;Nepal;0;0;-8;08/08/1993
158;Liechtenstein;0;0;-5;08/08/1993
159;Equatorial Guinea;0;0;-8;08/08/1993
160;Chinese Taipei;0;0;-4;08/08/1993
161;Sri Lanka;0;0;0;08/08/1993
162;Philippines;0;0;-5;08/08/1993
163;Chad;0;0;-8;08/08/1993
164;Vanuatu;0;0;-5;08/08/1993
165;Aruba;0;0;-5;08/08/1993
166;Bahamas;0;0;-4;08/08/1993
167;Maldives;0;0;-4;08/08/1993
167;Macau;0;0;0;08/08/1993
1;Brazil;0;54;7;23/09/1993
2;Italy;0;56;0;23/09/1993
3;Norway;0;54;6;23/09/1993
4;Denmark;0;53;6;23/09/1993
5;England;0;52;6;23/09/1993
5;Germany;0;57;-4;23/09/1993
7;France;0;51;5;23/09/1993
8;Russia;0;54;-1;23/09/1993
9;Republic of Ireland;0;55;-3;23/09/1993
10;Switzerland;0;56;-7;23/09/1993
11;Sweden;0;56;-7;23/09/1993
12;Argentina;0;56;-7;23/09/1993
13;Netherlands;0;49;3;23/09/1993
14;Spain;0;50;-1;23/09/1993
15;Uruguay;0;45;7;23/09/1993
16;Mexico;0;50;-2;23/09/1993
17;RCS;0;50;-2;23/09/1993
18;Nigeria;0;49;-1;23/09/1993
